YLR394W	YDR285W
YDR142C	YHR160C
YNL078W	YCR002C
YCL029C	YDL072C
YHR114W	YKL129C
YKL079W	YHR158C
YJL194W	YFL009W
YPL240C	YJL114W
YPL031C	YJR159W
YML088W	YDL132W
YKR037C	YER018C
YBL085W	YER158C
YDR201W	YKL050C
YER093C	YPL146C
YER162C	YLR167W
YPR154W	YIL108W
YER114C	YDR085C
YOL062C	YPR049C
YPL253C	YMR051C
YDL140C	YLR115W
YOR144C	YDL013W
YHR016C	YOR042W
YOL130W	YLR291C
YIL073C	YLR263W
YHR114W	YLR423C
YMR117C	YER186C
YLR396C	YKR014C
YLR148W	YKR014C
YDR425W	YGL145W
YOR119C	YMR182C
YML125C	YMR153W
YNL084C	YPL174C
YJR011C	YLR368W
YDR240C	YDL043C
YOL006C	YPR049C
YBR109C	YMR109W
YNL222W	YLR115W
YNL104C	YKL183W
YLR314C	YML030W
YEL013W	YHR195W
YJL030W	YJL206C
YBR244W	YCR086W
YBR186W	YDR369C
YOR276W	YOL139C
YJL124C	YMR250W
YGR130C	YOL069W
YGL086W	YER018C
YER022W	YGR258C
YBL007C	YLL005C
YKL079W	YKL179C
YLR254C	YPL216W
YML114C	YGL112C
YHR154W	YDR420W
YBR148W	YLL024C
YFR008W	YDR200C
YIL038C	YGR119C
YDR388W	YPL249C-A
YPR182W	YLR275W
YJL092W	YHR082C
YLR288C	YIL139C
YGL216W	YGL115W
YKR036C	YGR059W
YMR322C	YNL333W
YLR206W	YDR379W
YNL094W	YNL025C
YML077W	YBR254C
YHR030C	YJL001W
YDL018C	YGR120C
YCR036W	YGL153W
YNL016W	YBR010W
YFL017W-A	YKR034W
YOR344C	YDR252W
YAR018C	YKR022C
YDR293C	YML104C
YBL085W	YER155C
YCL032W	YPL124W
YKL166C	YIL033C
YLR093C	YKR054C
YFR024C-A	YGL201C
YLR096W	YER177W
YCL029C	YNL107W
YHR158C	YOR269W
YCL027W	YLR117C
YBR160W	YOR315W
YKL057C	YGR161C-C
YJL110C	YER018C
YOR119C	YMR051C
YOR337W	YJL049W
YNL142W	YMR011W
YOR269W	YPR018W
YPL174C	YDR507C
YGR209C	YPR167C
YOR128C	YCR067C
YMR275C	YER125W
YJL203W	YLR067C
YOR334W	YMR235C
YFR007W	YBR056W
YNL259C	YDR270W
YDR285W	YKR035W-A
YER149C	YPL174C
YKR054C	YGL086W
YGL127C	YOR174W
YDL239C	YDR520C
YJL203W	YDR170C
YNL325C	YLR386W
YOR254C	YBR205W
YIL038C	YBR211C
YML032C	YJL173C
YOR128C	YCR066W
YOR117W	YGR130C
YJR022W	YLR143W
YNL189W	YDR487C
YPR154W	YLR450W
YJL070C	YDR504C
YML055W	YAR027W
YGR238C	YJR112W
YJL034W	YPL216W
YOR122C	YFL039C
YNL020C	YGR241C
YKL032C	YGR192C
YPL018W	YLR190W
YLR191W	YGR239C
YBL085W	YDR085C
YFR024C-A	YDR310C
YNL308C	YOR259C
YOR181W	YLR337C
YOR304C-A	YNL314W
YAL047C	YER018C
YNL147W	YPR178W
YDL113C	YGR172C
YER087C-B	YNL135C
YKR011C	YGL166W
YBR017C	YNR069C
YGL097W	YDR002W
YML124C	YOR191W
YLR082C	YLR195C
YAL034W-A	YPL125W
YCR083W	YDR448W
YNL288W	YLR423C
YGL122C	YDR381W
YDR103W	YBL016W
YNL111C	YIR038C
YGR241C	YBR128C
YBR079C	YNL243W
YDR295C	YGR241C
YDL226C	YOR327C
YER126C	YPL004C
YER024W	YAR035W
YLR368W	YPR078C
YOR119C	YEL060C
YPL046C	YOR028C
YLR313C	YPL140C
YPR141C	YOL069W
YPL267W	YGL003C
YHR080C	YKR022C
YNL243W	YOR124C
YDR172W	YNL084C
YML064C	YDR110W
YMR079W	YJL151C
YDR358W	YDL192W
YAR007C	YOL056W
YKR001C	YGL206C
YDL089W	YLR324W
YHR113W	YOL082W
YLR148W	YDR323C
YHR014W	YHR185C
YHR114W	YOR059C
YMR135C	YCL039W
YJL092W	YGR230W
YJL097W	YML029W
YDL031W	YMR290C
YBL105C	YOL069W
YOR269W	YKL142W
YPL018W	YML030W
YKL179C	YLR454W
YJR003C	YLR423C
YKL196C	YGL086W
YNL273W	YMR048W
YPR129W	YCR077C
YJL194W	YDR446W
YBR234C	YDL029W
YDR052C	YIL131C
YKL117W	YHR067W
YPR179C	YOL069W
YPL240C	YIR011C
YDR441C	YML022W
YHR211W	YPL094C
YER118C	YDL117W
YER022W	YML007W
YDL117W	YJR138W
YEL022W	YGR166W
YJR147W	YHR192W
YDL207W	YMR255W
YOR254C	YFR041C
YGL075C	YNL107W
YJR091C	YDR389W
YBR246W	YDR520C
YBL007C	YCL045C
YJL189W	YMR139W
YLR337C	YMR032W
YHR016C	YMR255W
YPL159C	YLR423C
YLR025W	YKR054C
YHR186C	YER018C
YLR191W	YDR244W
YIL159W	YOR191W
YKL079W	YGL212W
YGR123C	YDR216W
YDR476C	YJL019W
YIL061C	YMR009W
YPL146C	YCL029C
YER118C	YKL060C
YCR072C	YER126C
YCR084C	YGR238C
YLR320W	YJL047C
YNL090W	YPL174C
YJL001W	YOR157C
YHR165C	YPR141C
YGR262C	YML056C
YOL006C	YKR010C
YPL240C	YAL022C
YKL079W	YKL172W
YHR114W	YPL032C
YBR057C	YPL138C
YJL011C	YGR246C
YML102W	YGL113W
YDL106C	YFR034C
YBL047C	YCR030C
YDR308C	YGL127C
YBR057C	YDR505C
YIL038C	YLR025W
YNL138W-A	YMR288W
YAL034W-A	YJR112W
YMR053C	YPL255W
YER180C	YGL026C
YOR119C	YJR062C
YER146W	YIL048W
YMR032W	YER047C
YBR160W	YLR321C
YDL239C	YOR177C
YGL048C	YDR227W
YBR261C	YLR438C-A
YMR032W	YPL084W
YLR254C	YIL038C
YOL070C	YAL041W
YOR326W	YDR200C
YBR257W	YHR062C
YBR057C	YGR130C
YDL018C	YLR026C
YDR429C	YPR163C
YBL007C	YKR030W
YJR091C	YOR265W
YHR154W	YLR442C
YNL189W	YDR480W
YML121W	YOL144W
YBL023C	YHR154W
YPR086W	YMR193W
YKL117W	YCR028C
YHL002W	YOR076C
YJR134C	YNL271C
YPL174C	YKR035W-A
YJL061W	YLR423C
YFR021W	YML059C
YNL225C	YOL091W
YNL216W	YLR453C
YDL006W	YBR222C
YFL023W	YDL110C
YOR035C	YAL029C
YCR086W	YDR335W
YEL003W	YJR021C
YGL124C	YMR231W
YDR295C	YOR265W
YNL243W	YML104C
YLR314C	YNL107W
YHR156C	YDL013W
YGR091W	YJR055W
YKL090W	YGR024C
YLR438C-A	YJR138W
YHR027C	YFR010W
YJR076C	YDR510W
YAL047C	YPR155C
YLR223C	YOR039W
YDR320C-A	YBR156C
YBR057C	YHR206W
YOL091W	YNL061W
YPL268W	YKL203C
YAR014C	YLR096W
YEL013W	YDR359C
YGR142W	YNL263C
YNL329C	YOL044W
YHL002W	YBR279W
YBL007C	YLR106C
YBL103C	YPL249C
YDL059C	YML032C
YMR257C	YER125W
YMR109W	YML109W
YJL092W	YOL034W
YIR009W	YHR197W
YIL038C	YKR083C
YDL117W	YOL070C
YBL008W	YMR021C
YJL092W	YFR031C
YPL232W	YGR130C
YLR229C	YDR309C
YFL007W	YKR054C
YMR031C	YGR238C
YPL240C	YLR259C
YGR188C	YKL109W
YDR293C	YJL113W
YIR006C	YJR112W
YEL037C	YER143W
YLR340W	YDL081C
YFR002W	YMR153W
YDR285W	YGR009C
YJR112W	YOR269W
YMR240C	YOR319W
Q0085	YCR106W
YKL179C	YER149C
YBR122C	YGR211W
YKL179C	YKL155C
YPL020C	YDR479C
YGR130C	YMR117C
YOR026W	YJL013C
YJR039W	YOR111W
YLR315W	YNL097C
YLR119W	YMR235C
YER114C	YER158C
YKL049C	YGR179C
YGL029W	YDR060W
YLL004W	YKR077W
YDR304C	YDL100C
YLR305C	YOR355W
YLR399C	YLR106C
YBR261C	YLR098C
YKR095W	YGR150C
YFL023W	YKL138C-A
YHR158C	YAL047C
YNL189W	YLR245C
YLR025W	YML104C
YOR122C	YIL159W
YLR291C	YOL143C
YNL258C	YFR051C
YJL020C	YJR047C
YJL124C	YPL016W
YKL117W	YCR024C
YFL023W	YOR355W
YDR364C	YLL036C
YKR001C	YKL041W
YMR117C	YIL144W
YOR167C	YCR077C
YAR014C	YLR098C
YGL060W	YML007W
YOR089C	YAL002W
YLL049W	YPL174C
YPL216W	YJL049W
YEL015W	YLR264W
YIL131C	YNL229C
YMR060C	YCR106W
YPL129W	YHR113W
YJL036W	YER093C
YGL127C	YOR047C
YNL189W	YLR377C
YPL174C	YGR009C
YBR167C	YNL221C
YPL240C	YHR070W
YDL149W	YFR021W
YJL076W	YDL042C
YJR022W	YOL031C
YHR107C	YNL107W
YNL263C	YBR264C
YKR037C	YER016W
YDR099W	YNL199C
YAR031W	YBR217W
YLR229C	YER155C
YMR192W	YHL010C
YOR290C	YFR037C
YJR112W	YOR127W
YEL056W	YPL001W
YHR111W	YHR206W
YBL085W	YJR056C
YOR127W	YNL298W
YOR254C	YAL044C
YBL007C	YGL104C
YPR199C	YDR027C
YHL009W-A	YHL010C
YER172C	YHR165C
YNL148C	YML124C
YHR114W	YOR181W
YPL174C	YGR274C
YNL086W	YGL172W
YPL151C	YBL105C
YAL043C	YGR156W
YLR291C	YOR232W
YLR389C	YNL229C
YDR034C	YER043C
YMR188C	YKL138C-A
YJL092W	YDL013W
YPR154W	YMR162C
YOR224C	YJL061W
YGR082W	YGR120C
YJL030W	YOL116W
YML032C	YDL064W
YJR022W	YDR127W
YIL144W	YOR324C
YMR061W	YBR103W
YMR231W	YDR323C
YBL007C	YGL237C
YPL059W	YIL105C
YMR270C	YJL025W
YLR089C	YPR049C
YBL061C	YIL007C
YOR210W	YDR527W
YMR117C	YCL032W
YDR388W	YIL156W
YGL093W	YIL038C
YCR093W	YHR206W
YOR145C	YCR057C
YIL144W	YMR054W
YCR086W	YKR034W
YOL091W	YDR229W
YMR133W	YER044C-A
YLR291C	YMR095C
YIR006C	YMR109W
YPR174C	YDR100W
YHR016C	YKL109W
YDL045C	YGR077C
YOL145C	YKL103C
YDR096W	YER033C
YDR122W	YBL023C
YOR160W	YGL092W
YDR320C-A	YMR037C
YML109W	YNL216W
YHR061C	YNL298W
YBL084C	YJL110C
YDL013W	YHR134W
YPL174C	YOR156C
YCL032W	YHR206W
YOL130W	YGL025C
YNL118C	YKL133C
YLR291C	YCR020C
YDR168W	YDL108W
YJL057C	YMR153W
YOR344C	YPL232W
YBL007C	YGL238W
YDR150W	YMR076C
YER075C	YBL016W
YDR096W	YER032W
YFL023W	YKL073W
YNL261W	YLR002C
YBL041W	YER105C
YER018C	YDL056W
YDR313C	YPL133C
YPR105C	YJL036W
YDL126C	YKL213C
YPR154W	YPL050C
YNL251C	YOL115W
YDL190C	YBL058W
YDL154W	YGL170C
YDR178W	YDR151C
YDR328C	YLR267W
YDR478W	YHR062C
YDR373W	YGL153W
YHR114W	YLR078C
YER087C-B	YGL084C
YCL027W	YAL017W
YHR114W	YJL180C
YKL196C	YMR168C
YJL092W	YKR061W
YGR262C	YNL132W
YPL216W	YNL107W
YDR080W	YOR106W
YNR049C	YDR164C
YHR023W	YGR150C
YMR316W	YER125W
YBL037W	YFR043C
YER112W	YCR077C
YOR119C	YNL281W
YDR128W	YLR208W
YML032C	YDR510W
YGL212W	YPR171W
YPR113W	YLR072W
YGR274C	YOR304C-A
YPL149W	YMR159C
YDR388W	YFL039C
YDR394W	YGL048C
YLR291C	YLR258W
YKL028W	YKR062W
YBL099W	YJL180C
YMR198W	YFL023W
YJL203W	YHL007C
YBR057C	YDR159W
YDL146W	YKL070W
YKL079W	YOR337W
YKL079W	YDR326C
YGL237C	YLR423C
YGL210W	YNL272C
YLR086W	YOL069W
YMR117C	YDL130W-A
YBL005W	YDR176W
YDR295C	YLR025W
YDR206W	YOL149W
YPL100W	YJL100W
YCR063W	YPR152C
YDR168W	YJR089W
YAL047C	YGR059W
YCL059C	YNL308C
YBL007C	YCL034W
YMR294W	YDR130C
YPL255W	YGL075C
YER018C	YPL133C
YML007W	YOR324C
YAL017W	YDR443C
YMR055C	YGR153W
YMR061W	YGL044C
YDR309C	YML109W
YBL007C	YOR211C
YLR314C	YOR304C-A
YLR357W	YDL059C
YIL153W	YDR259C
YPL149W	YLR098C
YGL215W	YAL005C
YKL179C	YMR039C
YDR293C	YOR124C
YGR142W	YMR021C
YPL146C	YHR034C
YKL117W	YER082C
YGL104C	YIR038C
YIR009W	YAL024C
YPL240C	YDL131W
YPL240C	YOL147C
YER118C	YCR012W
YBL023C	YGL201C
YOL062C	YNL036W
YKR054C	YGR059W
YPL268W	YDL035C
YPL155C	YPL124W
YHR061C	YCL032W
YCL032W	YJL019W
YPR046W	YCR106W
YJR053W	YMR055C
YBL007C	YIL156W
YLR125W	YMR030W
YKR054C	YPR018W
YMR029C	YKL073W
YBR274W	YDR217C
YDL239C	YMR124W
YHR011W	YKL179C
YMR065W	YJL074C
YMR053C	YJL029C
YBL085W	YGL201C
YJL140W	YMR309C
YGR149W	YDR479C
YBR057C	YBR102C
YKL184W	YPL052W
YJR070C	YER090W
YPR105C	YOR164C
YPL174C	YHR206W
YKR002W	YPL031C
YLR399C	YFR009W
YLR045C	YGL061C
YJR002W	YNL075W
YBR102C	YGL233W
YNL242W	YFR021W
YMR153W	YDL088C
YNL271C	YFL039C
YNL084C	YPR141C
YDR395W	YOL070C
YPL240C	YOR377W
YJL112W	YGR150C
YOR119C	YDR318W
YEL013W	YCL063W
YGL216W	YGL254W
YOL091W	YOR223W
YGL113W	YDR013W
YER112W	YDL043C
YML051W	YOL148C
YBR101C	YFL036W
YPR199C	YDL190C
YOR117W	YOL069W
YMR047C	YDR229W
YNL111C	YIR033W
YOR344C	YER093C
YBL026W	YNL264C
YJR022W	YMR205C
YLR200W	YOR341W
YJL020C	YOR081C
YPL018W	YDL072C
