YLR394W	YDR285W
YER168C	YMR022W
YDL100C	YOL111C
YMR052W	YIL144W
YEL035C	YOR069W
YPL069C	YBR261C
YPR137W	YLR336C
YGL134W	YGR024C
YJL194W	YFL009W
YGL063W	YDL070W
YNL096C	YPL240C
YBR298C	YMR022W
YCL008C	YBL007C
YPR178W	YDR473C
YOR308C	YDR268W
YDR409W	YJL020C
YGL035C	YJL020C
YER158C	YBR090C
YLR321C	YIL132C
YHR114W	YLR423C
YDL206W	YBL007C
YJR011C	YLR368W
YGL153W	YLR191W
YHR179W	YFL039C
YHR114W	YLR424W
YDR374C	YHR122W
YBR170C	YMR022W
YKL078W	YLR336C
YNL298W	YHR061C
YDR309C	YOR127W
YBR244W	YCR086W
YJL124C	YMR250W
YDR448W	YJR003C
YDR449C	YML093W
YGL220W	YDR267C
YOL096C	YMR022W
YPL089C	YMR022W
YNL333W	YFL060C
YCL010C	YDR176W
YJL074C	YDL087C
YNL153C	YDL074C
YOR276W	YDR482C
YDR316W	YHR085W
YLR288C	YIL139C
YDL155W	YDR034C
YNL271C	YIL159W
YCL029C	YPL155C
YDL019C	YMR109W
YGR158C	YLR345W
YLR206W	YDR379W
YBL051C	YKR096W
YNL065W	YPL240C
YLR094C	YML109W
YPL118W	YOL133W
YOR372C	YDL203C
YDL131W	YHR083W
YER164W	YKL088W
YIL169C	YBL016W
YJR088C	YFL047W
YDR160W	YJR013W
YBR108W	YCR009C
YDL024C	YMR022W
YJR091C	YIL065C
YOL069W	YFL008W
YPL146C	YOR206W
YGR268C	YDL239C
YKL014C	YMR049C
YDL239C	YDR520C
YNL325C	YLR386W
YMR226C	YNL189W
YPR154W	YLR450W
YKL103C	YAL034W-A
YML055W	YAR027W
YIR042C	YPL240C
YMR287C	YBR200W
YOR156C	YJL097W
YGL190C	YBL085W
YGR048W	YDR510W
YLR191W	YGR239C
YFR024C-A	YDR310C
YCR092C	YMR022W
YOR304C-A	YNL314W
YIR038C	YLL014W
YAL036C	YCR038C
YGR092W	YNL288W
YDR022C	YBR217W
YNL288W	YLR423C
YOL070C	YDR395W
YOR036W	YER031C
YDR103W	YBL016W
YNL111C	YIR038C
YOR043W	YNL094W
YAL033W	YMR022W
YOR185C	YPL125W
YPL038W	YKL129C
YER024W	YAR035W
YOR204W	YHR083W
YBR112C	YHL002W
YKL021C	YIL046W
YJL218W	YDR132C
YOR181W	YHR016C
YNL316C	YGR046W
YPR017C	YJR022W
YGL029W	YHR122W
YMR162C	YJL020C
YHR075C	YNL124W
YIL050W	YPL031C
YGR048W	YML023C
YKL061W	YCL032W
YHR113W	YOL082W
YPL277C	YHR061C
YFR052W	YDR394W
YMR135C	YCL039W
YGL036W	YCL055W
YBL058W	YLR291C
YDL031W	YMR290C
YDR192C	YMR273C
YLR216C	YNR032W
YLR346C	YPL233W
YPR187W	YDR034C
YJR003C	YLR423C
YHR060W	YDR034C
YOR157C	YML092C
YOL039W	YDR385W
YDL111C	YGR158C
YLR047C	YMR022W
YJR141W	YOR319W
YPL018W	YGR024C
YGR088W	YBR261C
YJR077C	YER100W
YLR454W	YEL061C
YLR166C	YHR083W
YKL061W	YKR022C
YHR211W	YPL094C
YDL117W	YJR138W
YNL163C	YOL133W
YPL257W	YMR022W
YGR119C	YMR047C
YJL157C	YBR200W
YJL189W	YMR139W
YGR099W	YDL017W
YCL057W	YMR022W
YOR284W	YGL181W
YLR191W	YDR244W
YAL018C	YLR264W
YCR072C	YER126C
YKR082W	YBL079W
YLR206W	YOL022C
YMR070W	YBR194W
YPL094C	YGL225W
YJL001W	YOR157C
YGR262C	YML056C
YJL134W	YHR114W
YMR232W	YLR362W
YJL110C	YDL203C
YBR250W	YNL012W
YDR479C	YGL053W
YDR277C	YPL240C
YKR091W	YBR217W
YBL047C	YCR030C
YGL115W	YPL149W
YBR123C	YIL046W
YNL138W-A	YMR288W
YFR001W	YER126C
YAL034W-A	YJR112W
YER032W	YCL027W
YER146W	YIL048W
YPL089C	YGR046W
YGL170C	YMR047C
YMR287C	YDR388W
YDL148C	YBR247C
YLR090W	YBL045C
YLR389C	YKL116C
YMR032W	YPL084W
YOL070C	YAL041W
YIL045W	YAR014C
YBR257W	YHR062C
YHR060W	YPL019C
YLR319C	YNL271C
YFR031C	YDL074C
YNL023C	YJL020C
YKR063C	YLL035W
YJR091C	YOR265W
YMR316W	YDR189W
YLR243W	YOR258W
YLR439W	YLR102C
YER105C	YJL147C
YKL129C	YIR006C
YLR284C	YML064C
YCR073C	YBL041W
YIL159W	YKL129C
YNL225C	YOL091W
YJR120W	YMR022W
YDR110W	YER161C
YLR139C	YBR034C
YOR095C	YLR291C
YJR132W	YPL240C
YDL005C	YML051W
YPL032C	YHR114W
YML108W	YBR162W-A
YPR188C	YHR023W
